Address,Condition
"5525 Cedar Lake Rd S, St Louis Park, MN 55416",
"225 Thomas Ave N #700, Minneapolis, MN 55405  ",MUST arrive between 10 and 11am
"701 N 5th St, Minneapolis, MN 55401 ",
"920 E Lake St #123, Minneapolis, MN 55407",
"783 Harding St NE, Minneapolis, MN 55413",
"4165 W Broadway Ave, Robbinsdale, MN 55422",
"1321 E 78th St, Bloomington, MN 55425",
"12547 Riverdale Blvd, Coon Rapids, MN 55448",
"9875 Hospital Dr, Maple Grove, MN 55369",
"3300 Oakdale Ave N, Robbinsdale, MN 55422 ",MUST arrive between 10 and 11am
