Station Name,Latitude (deg) ,Longitude (deg) ,Avg Air Temp (Degrees F) 
',,,
Ada,47.32110000000036,-96.5138999999998,39.49830416666664
Becker,45.34430000000047,-93.84999999999917,43.1579388888889
Campbell,46.06493200000045,-96.37016500000026,40.354461111111114
Clarissa,46.11156000000042,-94.90580000000013,40.57867083333334
Eldred,47.68799999999931,-96.8220000000001,38.602726388888875
Fox,48.87773799999968,-95.85016000000134,37.90389444444444
Greenbush,48.70400000000049,-96.32499999999871,37.41347499999999
Hubbard,46.82058999999964,-94.99579999999892,39.480174999999996
Humboldt,48.88399999999904,-97.15000000000059,36.644451388888925
Kennedy,48.63670899999933,-97.04111700000057,38.09228888888888
Little Falls,45.93213000000036,-94.25140000000043,41.38636111111109
Mavie,48.1209999999994,-95.97099999999942,38.48850277777782
Ottertail,46.4264299999997,-95.573499999999,40.046130555555564
Parkers Prairie,46.16939999999958,-95.35599999999978,39.95775000000002
Perham,46.610476999999314,-95.60187600000053,39.85454305555556
Perley,47.17899999999996,-96.67999999999985,39.514340277777805
Pine Point,47.0128599999997,-95.37170000000161,38.84935416666663
Rice,45.79382999999947,-94.26179999999997,42.12723055555558
Roseau,48.68500000000039,-95.73399999999846,38.24333750000001
Sabin,46.79438899999958,-96.6116830000008,40.04860833333335
Staples,46.387729999999465,-94.8087000000007,40.522641666666644
Stephen,48.45675000000029,-96.8539529999993,38.11646805555549
Ulen,47.050472999999634,-96.10843200000039,38.72339861111111
Wadena,46.44829999999994,-95.21420000000083,39.936493055555495
Warren,48.136999999999695,-96.83900000000038,37.5747486111111
Waukon,47.325859000000186,-96.13250400000034,39.043386111111104
Westport,45.71508000000085,-95.17179999999817,40.3714166666667
Williams,48.85845400000043,-94.98089700000091,36.89555000000003
